timestamp,context,source,width,height,blockSize,discardBits,smooth,psnr,ssim,rawSize,compressedSize,nodalSize,qoiSize,jpegSize,pngSize,webpSize,customEncodeMs,customDecodeMs,jpegEncodeMs,jpegDecodeMs,pngEncodeMs,pngDecodeMs,webpEncodeMs,webpDecodeMs






2025-12-08T12:42:44.530Z,batch,image,3024,4032,6,1,false,28.22414596405764,0.9835199354026487,36578304,1332566,285987,1046547,1032725,13357932,984814,2615.2104000002146,2453.4653000002727,284.7597000002861,145.7554999999702,2716.12910000002,515.6880999999121,2717.3516999999993,934.2063000001945
2025-12-08T12:42:49.943Z,batch,image,2701,1801,6,1,false,32.28191477435929,0.9946828641265214,14593503,613463,140106,473325,399282,6325349,354188,2045.1200999999419,746.5389000000432,203.45950000034645,245.64770000008866,1403.8431000001729,172.3004999998957,1409.0656000003219,281.90079999994487
2025-12-08T12:43:20.720Z,batch,image,6720,4480,6,1,false,25.535063421396373,0.9738837997667265,90316800,4354442,913193,3441217,5615785,62951899,6439126,6056.41719999956,4044.2092000003904,858.812799999956,457.9527000002563,6204.150400000159,780.6303999996744,16270.577899999917,984.4378999997862
2025-12-08T12:43:46.503Z,batch,image,5008,6260,6,1,false,25.0147259305434,0.9412486176463079,94050240,5021389,1158794,3862563,4756396,64674898,4965150,6426.146100000013,4663.324000000022,798.8656999999657,377.2442999999039,5626.213400000241,782.9066999997012,9875.789499999955,1346.2944000000134
2025-12-08T12:44:02.284Z,batch,image,3748,5622,6,1,false,31.886469958442664,0.994629305296141,63213768,2635444,566496,2068916,2741671,42247324,3257064,4838.800999999978,3068.5373999997973,560.4490999998525,275.8804999999702,4604.867099999916,814.5251000002027,4308.94980000006,957.2138000000268
2025-12-08T12:44:32.504Z,batch,image,4672,6541,6,1,false,18.205147871280513,0.8956026634867736,91678656,4977986,1251901,3726053,7405000,76853220,8205558,6042.13450000016,3933.7976000001654,877.0759000000544,480.87459999974817,5682.464199999813,798.8374999999069,15938.567199999932,1056.37099999981
2025-12-08T12:44:47.048Z,batch,image,4024,6048,6,1,false,26.211600851190973,0.987018673873263,73011456,3160826,727987,2432807,3508943,41945223,3711576,4060.2108000000007,2747.0219000000507,739.0211999998428,473.9540999997407,3883.807499999646,513.7645000000484,4376.994900000282,815.9812999996357
2025-12-08T12:44:52.698Z,batch,image,2394,3600,6,1,false,22.729393036042843,0.9031619554919059,25855200,974008,241846,732130,1101625,12222163,929174,1794.7450999999419,1064.6705000000075,206.98560000024736,103.26919999998063,1268.9382000002079,192.38260000012815,1309.8547999998555,321.15139999985695
2025-12-08T12:45:35.274Z,batch,image,6144,8160,6,1,false,26.80154384289068,0.9011090908968142,150405120,6164990,1368131,4796827,5680275,69392714,6180326,7669.072800000198,6457.589099999983,1373.8574000000954,719.2157000000589,7565.356000000145,1104.3977000000887,21782.601800000295,1599.75670000026
2025-12-08T12:45:48.661Z,batch,image,5149,6101,6,1,false,30.42840399900596,0.992270410953582,94242147,3416157,687794,2728331,4684029,47680581,5506612,5297.1716000000015,1509.4817000003532,295.9200999997556,108.9035000000149,1852.1498000002466,361.7957999999635,3321.788700000383,481.6099999998696
2025-12-08T12:46:12.617Z,batch,image,5462,8192,6,1,false,21.511391976095602,0.9443114741204581,134234112,6176821,1362728,4814061,8387153,82670369,9575142,4093.4204000001773,2158.0845000003465,458.3267000000924,181.36739999987185,3568.418100000359,543.6166000002995,15096.86149999965,756.0987999998033
2025-12-08T12:46:15.534Z,batch,image,2941,4160,6,1,false,42.816809094815625,0.9998504481781049,36703680,968604,206643,761929,480534,6605984,352758,744.7953999997117,588.9603999997489,97.36620000004768,35.755200000014156,426.83580000000075,79.35099999979138,927.6740000001155,134.72819999977946
2025-12-08T12:46:20.517Z,batch,image,3501,5251,6,1,false,26.924132213713623,0.96751513847729,55151253,2085715,463363,1622320,2360613,26835233,2437310,1102.778899999801,1138.1214000000618,163.3016000003554,63.10000000009313,1036.8327000001445,179.40730000007898,1736.9681000001729,264.8314000000246
2025-12-08T12:46:26.311Z,batch,image,4000,6000,6,1,false,34.79512396650805,0.9983108648913437,72000000,1972280,376482,1595766,1613910,20287736,1444542,1384.5852999999188,1132.310099999886,185.55239999992773,78.51869999989867,1515.5134999998845,182.33669999986887,2037.1395999998786,258.8056000000797
2025-12-08T12:46:35.639Z,batch,image,7549,5035,6,1,false,32.763249020371354,0.9946315311410338,114027645,4288401,953796,3334573,3363961,50757969,3463610,2171.3289999999106,1833.6650000000373,331.36770000029355,162.34459999995306,1904.3270999998786,409.7838999996893,3402.4153999998234,459.155199999921
2025-12-08T12:46:44.974Z,batch,image,4000,6000,6,1,false,29.308423993841146,0.9921554363518685,72000000,3701950,851296,2850622,3108664,53872833,2887916,1494.7120000002906,3436.024199999869,209.05590000003576,81.32450000010431,1600.8045000000857,333.86590000009164,2342.3832999998704,608.0490000001155
2025-12-08T12:47:04.821Z,batch,image,4672,7008,6,1,false,32.102426959467685,0.9851285046586418,98224128,4005496,817093,3188371,3422180,45291861,3509960,5341.026000000071,4857.717699999921,786.0109999999404,388.5694999997504,4850.003699999768,778.3365000002086,5368.423099999782,1059.4399999999441
2025-12-08T12:47:16.784Z,batch,image,3880,5886,6,1,false,36.47490119033898,0.9976587351792258,68513040,1455446,296887,1158527,783456,9283449,647516,3811.6416000002064,2675.18629999971,516.3262999998406,256.6041999999434,1729.223600000143,240.71469999989495,2676.842699999921,612.0987999998033
