? image,timestamp,context,source,width,height,blockSize,discardBits,smooth,psnr,ssim,rawSize,compressedSize,nodalSize,qoiSize,jpegSize,pngSize,webpSize,customEncodeMs,customDecodeMs,jpegEncodeMs,jpegDecodeMs,pngEncodeMs,pngDecodeMs,webpEncodeMs,webpDecodeMs
46,2025-12-08T12:17:12.780Z,batch,image,4672,7008,8,2,FALSE,24.411763479442037,0.9560164080007363,98224128,2419098,442660,1976406,5353007,65904630,5682668,7527.283799999976,1625.6537000000244,903.3409,429.2587999999523,6832.166599999997,946.0653000000166,18244.89169999992,1177.409800000023
47,2025-12-08T12:17:43.820Z,batch,image,6774,4492,8,2,FALSE,26.343053283810562,0.9762441667996269,91286424,2835247,466486,2368729,5218979,77947705,5589772,6725.082300000009,1574.7174000000814,884.8830000000307,486.9751999999862,7149.380399999907,908.1019000000088,17765.94479999994,1111.500999999931
48,2025-12-08T12:17:53.958Z,batch,image,3024,3809,8,2,FALSE,23.04880795,0.8834255627198269,34555248,770484,111712,658740,2978606,22013051,3626978,3922.2125000000233,591.7178,385.6890999999596,173.23560000001453,2641.715000000084,413.42949999996927,3168.9603999999817,593.0697999999393
49,2025-12-08T12:17:59.781Z,batch,image,3130,2075,8,2,FALSE,27.56616274827089,0.9923961066729441,19484250,482053,81393,400628,1077520,13277321,1250748,2002.1170999999158,434.27369999990333,201.54320000007283,106.59869999997318,1619.8810000000522,348.3044000000227,1384.782399999909,478.6545
50,2025-12-08T12:18:15.656Z,batch,image,3863,5794,8,2,FALSE,26.178620502566027,0.9545088751436499,67146666,1656238,303469,1352737,4085018,45130726,4679844,5348.8447,1104.6010000000242,676.7367999999551,313.57400000002235,5656.056900000083,810.8199999999488,5199.137299999944,1019.1802000000607
51,2025-12-08T12:18:28.512Z,batch,image,5472,3648,8,2,FALSE,29.88492967,0.9793259337616856,59885568,1426384,265789,1160563,1784251,28443008,1692876,4563.509899999946,1047.3636000000406,530.0590999999549,322.4141000000527,3777.6903000000166,628.5404000000563,3828.1472999999532,855.1128000000026
52,2025-12-08T12:18:33.944Z,batch,image,2014,2517,8,2,FALSE,30.137182233780642,0.9520795755880239,15207714,199259,37181,162046,254043,2682626,233040,2799.914999999921,371.2595999999903,188.9198000000324,106.93559999996796,637.8730000000214,121.77069999999367,915.6755000000121,250.03330000001006
53,2025-12-08T12:18:51.632Z,batch,image,4000,6000,8,2,FALSE,27.187684679312763,0.9817466547177263,72000000,1800349,331879,1468438,4290033,54195362,5483578,5503.714500000002,1173.9420999999857,693.1794999999693,319.87690000003204,6939.961299999966,838.8998999999603,5897.121000000043,1185.0535000000382
54,2025-12-08T12:19:06.923Z,batch,image,4344,5430,8,2,FALSE,26.157447524615023,0.9246427073656068,70763760,1330317,208606,1121679,2463455,28563487,2446292,5595.4028,1188.9570999999996,637.5004,315.3839000000153,4211.735499999952,581.3972000000067,4475.7525000000605,963.6962000000058
55,2025-12-08T12:19:19.838Z,batch,image,4000,6000,8,2,FALSE,32.91829090107485,0.9942630027893659,72000000,589058,62137,526889,526720,5972453,423982,5357.982,1102.9337999999989,774.0742999999784,260.0947,1735.702399999951,252.64000000001397,2957.5826000000816,805.4904999999562
56,2025-12-08T12:19:35.735Z,batch,image,3906,5860,8,2,FALSE,28.509260047887402,0.9785838652744412,68667480,1118371,189554,928785,3103584,30141596,3552268,5187.971,1113.378500000108,689.9482999999309,463.67029999999795,5688.785199999926,639.0197000000626,4923.387199999997,969.7466999999015
57,2025-12-08T12:19:51.198Z,batch,image,4160,6240,8,2,FALSE,31.119748919028755,0.995435641,77875200,892357,145647,746678,1005868,12790060,702702,6454.960700000054,1246.2365999999456,801.6169999999693,361.6374000000069,2980.836899999995,334.45100000000093,3853.220999999903,931.4943000000203
58,2025-12-08T12:20:21.306Z,batch,image,4000,6000,8,2,FALSE,22.871326675406856,0.9236057108463077,72000000,2709320,452461,2256827,7139891,70923062,9097006,5711.241299999994,1313.0748000000603,989.3980000000447,429.0849000000162,8329.1928,827.9065,18184.88639999996,1141.5415999999968
59,2025-12-08T12:20:45.685Z,batch,image,3941,5911,8,2,FALSE,26.285188808120434,0.8875720417491019,69885753,1630017,275674,1354311,5219315,44213852,6078568,5319.654499999946,1296.5856999999378,724.0672000000486,339.3386000000173,6574.866099999985,646.9256999999052,12937.216300000087,1152.093200000003
60,2025-12-08T12:21:01.922Z,batch,image,4160,6240,8,2,FALSE,32.82922657018487,0.9973590499916867,77875200,1323967,222813,1101122,1318567,19400085,992478,6392.0934000000125,1354.3874999999534,736.6037999999244,357.31869999994524,3279.8645999999717,513.9130000000587,4156.760699999984,934.5829999999842
61,2025-12-08T12:21:22.781Z,batch,image,7008,4672,8,2,FALSE,31.02697286491153,0.9961960659204059,98224128,2087833,379867,1707934,2995659,48392256,2839330,7851.588699999964,1678.5719000000972,869.9464000000153,412.9845000000205,5464.711799999932,1032.2044999999925,5568.806699999957,1316.579000000027
62,2025-12-08T12:21:41.922Z,batch,image,4672,7008,8,2,FALSE,29.97292830336164,0.992067684,98224128,1949819,359792,1589995,2340310,34577867,2176258,7380.804999999935,1648.4110999999102,820.5533000000287,363.7526999999536,3888.5673999999417,658.9057,5005.966000000015,1164.0370999999577
63,2025-12-08T12:21:57.918Z,batch,image,3840,5760,8,2,FALSE,32.53665729997757,0.997228312,66355200,1233049,207297,1025720,1839025,29414045,2351794,5381.693599999999,1125.1178000000073,600.3784999999916,294.67229999997653,5879.038200000068,617.5524999999907,4728.548000000068,1120.8803999999072
64,2025-12-08T12:22:10.967Z,batch,image,3840,5760,8,2,FALSE,29.563522045446646,0.9967004678876539,66355200,938315,155118,783165,936734,12994612,744888,5091.950600000098,1062.2769000000553,509.1872999999905,251.65099999995437,2187.054599999916,372.9395999999251,3096.121599999955,893.1283999999287
65,2025-12-08T12:22:25.033Z,batch,image,3375,6000,8,2,FALSE,22.61281505852108,0.9290805933711119,60750000,1206833,183585,1023216,3211828,23186263,3340340,4671.907600000035,992.6909000000451,783.9873999999836,291.8988999999128,4923.840199999977,588.9731000000611,4570.365699999966,947.3532999999588
66,2025-12-08T12:22:38.327Z,batch,image,3953,5266,8,2,FALSE,32.40011177249204,0.9963749537198949,62449494,1011180,186325,824823,1177018,15638396,894366,4768.911900000065,1036.8612999999896,499.29340000008233,236.44120000000112,2891.2796999999555,412.73849999997765,3687.404499999946,769.2419000000227
67,2025-12-08T12:22:47.578Z,batch,image,3072,4608,8,2,FALSE,29.711704428967217,0.98014803,42467328,516706,75812,440862,613866,8354722,539458,3574.5646000000415,878.6156999999657,340.02880000008736,276.60759999998845,1744.3085999999894,202.7103000000352,2197.1813000000548,598.4740999999922
68,2025-12-08T12:23:03.820Z,batch,image,4000,6000,8,2,FALSE,26.84841302,0.9858929754159674,72000000,1884991,346431,1538528,3474776,45134316,3716996,5412.1097,1222.6931999999797,641.5956000000006,309.13589999999385,4962.6857999999775,995.2683999999426,4646.804899999988,1222.7634000000544
69,2025-12-08T12:23:19.873Z,batch,image,6000,4000,8,2,FALSE,28.51343686118048,0.9687298159467991,72000000,1797900,325542,1472326,2932296,43112296,3380320,5617.989900000044,1276.577500000014,607.2359,324.4928999999538,4572.219299999997,815.7592999999179,4614.579999999958,1094.2253000000492
70,2025-12-08T12:23:28.726Z,batch,image,3024,4032,8,2,FALSE,32.39787162899346,0.9936354541832143,36578304,624779,103345,521402,904138,12579647,736718,2946.035900000017,634.9618999999948,311.2066000000341,136.13489999994636,2753.955900000059,363.59700000006706,2487.8541999999434,547.9199999999255
71,2025-12-08T12:23:45.057Z,batch,image,4000,6000,8,2,FALSE,30.187050377234996,0.993444849,72000000,1124176,203263,920881,2926220,33781224,3369050,5446.050999999978,1125.9875000000466,650.6620000000112,341.42519999993965,5822.838100000052,704.7621999999974,5100.785999999964,1056.3532999999588
72,2025-12-08T12:24:00.956Z,batch,image,3913,5870,8,2,FALSE,22.90005691382618,0.9631303184620627,68907930,1441617,272741,1168844,3374259,35981219,3534718,5399.5944,1094.2345000000205,604.7252999999328,301.02069999999367,5373.568500000052,707.8026000000536,4970.412799999933,1076.235400000005
73,2025-12-08T12:24:10.154Z,batch,image,3024,4032,8,2,FALSE,21.46596718638822,0.8584869299374163,36578304,932264,167417,764815,2151080,20864575,2379700,3248.4364999999525,633.7804000000469,349.92720000003465,172.67499999993015,2701.2496999999275,378.8331000000471,2792.4401999999536,622.1894
74,2025-12-08T12:24:16.289Z,batch,image,2001,3000,8,2,FALSE,23.062904472981344,0.9601184834367186,18009000,477709,102169,375508,1232048,13529554,1319212,2038.908199999947,354.95370000007097,170.83729999989737,102.03489999996964,2186.2252999999328,214.80709999997634,1627.3199000000022,367.5837000000756
75,2025-12-08T12:24:29.133Z,batch,image,3485,5227,8,2,FALSE,30.556648172828428,0.991420651,54648285,1241771,216732,1025007,1448156,23221448,1294328,4926.197600000072,1115.2365999999456,453.8133,228.7060000000056,3890.7366000001784,603.6295000000391,3542.1951999999583,923.3484000000171
76,2025-12-08T12:24:46.418Z,batch,image,4160,6240,8,2,FALSE,30.780985483841423,0.9944177644109082,77875200,1132056,188457,943567,3035683,35584150,3759326,6070.171800000127,1216.0829999998678,675.4793000000063,342.1479999998119,5721.946800000034,757.6078999999445,5136.205899999943,1125.2475000000559
77,2025-12-08T12:24:59.547Z,batch,image,3829,5241,8,2,FALSE,29.551383671347338,0.9949037930048589,60203367,1242187,219346,1022809,1603709,24140650,1358358,4726.936599999899,980.7131000000518,667.9006000000518,281.7053999998607,4115.587800000096,535.8611999999266,4020.7343999999575,847.3412
78,2025-12-08T12:25:15.272Z,batch,image,3314,5616,8,2,FALSE,23.60312864834345,0.9561004982078241,55834272,1298772,217858,1080882,2814995,31393090,3052282,5339.164000000106,885.7742999999318,596.9691999999341,263.43009999999776,5796.831199999899,582.8226000000723,5068.1422000001185,869.2990000001155
79,2025-12-08T12:25:21.735Z,batch,image,3000,2000,8,2,FALSE,18.574849830357746,0.8097237169959511,18000000,645762,114301,531429,1972349,17023916,2317032,2248.621099999873,394.7709000001196,207.59360000002198,105.14980000001378,2318.525999999838,279.7359000002034,1951.751099999994,452.4992
80,2025-12-08T12:25:34.454Z,batch,image,5767,3845,8,2,FALSE,23.520435216304662,0.8245738935470766,66522345,923126,139898,783196,1804027,14574894,1759826,4702.5143999999855,1163.2687999999616,588.1828,257.82990000001155,1950.8053999999538,342.18359999987297,3249.8943000000436,886.2083000000566
81,2025-12-08T12:25:46.123Z,batch,image,5184,3456,8,2,FALSE,32.06476918873217,0.9887337795726581,53747712,651497,101838,549627,1563835,17608565,1821622,4266.692299999995,962.8432,706.9655999999959,261.0393000000622,2839.743599999929,395.63610000000335,3345.849200000055,908.5838999999687
82,2025-12-08T12:25:53.849Z,batch,image,3648,2736,8,2,FALSE,26.05783671804366,0.9741498445889532,29942784,985456,172726,812698,1356338,23168670,1293576,2580.8804,857.8691000000108,297.2257000000682,133.17830000002868,2189.3261000001803,423.4273000000976,1830.9573999999557,454.7876999999862
83,2025-12-08T12:26:00.456Z,batch,image,3840,2160,8,2,FALSE,24.74748976757727,0.8920978107967974,24883200,685473,131334,554107,1308605,15353417,1387720,2533.713100000052,489.4479000000283,241.82049999991432,117.43640000000596,1694.8723,327.34559999988414,1580.719999999972,436.9714999999851
