? image,timestamp,context,source,width,height,blockSize,discardBits,smooth,psnr,ssim,rawSize,compressedSize,nodalSize,qoiSize,jpegSize,pngSize,webpSize,customEncodeMs,customDecodeMs,jpegEncodeMs,jpegDecodeMs,pngEncodeMs,pngDecodeMs,webpEncodeMs,webpDecodeMs
1,2025-12-08T11:41:56.072Z,batch,image,3024,4032,4,2,FALSE,29.56916841504315,0.9894855848381181,36578304,1943798,429795,1513971,1032725,13357932,984814,1681.9359999999979,1402.4916000000012,267.4578999999976,156.49469999999928,1246.1224000000002,252.03069999999934,1756.737000000001,326.2845000000016
2,2025-12-08T11:41:59.855Z,batch,image,2701,1801,4,2,FALSE,32.494211089179444,0.9962125583377422,14593503,928989,214324,714633,399282,6325349,354188,992.3568000000014,555.0221,264.58309999999983,142.52410000000236,1307.210500000001,148.03420000000187,1201.3161999999975,217.4423999999999
3,2025-12-08T11:42:26.728Z,batch,image,6720,4480,4,2,FALSE,26.545238582081502,0.980534082,90316800,8061221,1523043,6538146,5615785,62951899,6439126,4216.100300000002,3075.1439000000028,786.1755000000048,413.8208000000013,4704.712200000002,703.5227999999988,14831.824100000005,930.0812000000005
4,2025-12-08T11:42:48.273Z,batch,image,5008,6260,4,2,FALSE,26.550984221542002,0.9620298484659812,94050240,8698624,1915201,6783391,4756396,64674898,4965150,6168.3024000000005,2705.6728999999905,782.5148000000045,426.86939999999595,4655.275199999996,711.9418000000005,8510.365599999997,869.3276999999944
5,2025-12-08T11:42:58.139Z,batch,image,3748,5622,4,2,FALSE,31.90121520430051,0.9958036346912726,63213768,4219083,856610,3362441,2741671,42247324,3257064,2494.1130999999878,1626.612599999993,387.7551000000094,166.1490000000049,2351.957699999999,572.7663999999932,3237.4633999999933,521.4929
6,2025-12-08T11:43:22.467Z,batch,image,4672,6541,4,2,FALSE,19.708707227389898,0.9298841269569347,91678656,9301168,2152829,7148307,7405000,76853220,8205558,3489.1561999999976,3124.416200000007,616.4814000000042,282.35830000000715,3961.6677999999956,726.8698999999906,13831.12920000001,861.5725999999995
7,2025-12-08T11:43:33.527Z,batch,image,4024,6048,4,2,FALSE,27.204184208889224,0.990480526,73011456,5656829,1179879,4476918,3508943,41945223,3711576,2849.6382999999914,1982.7957000000024,465.5460000000021,211.87750000000233,2560.008700000006,379.9743999999919,3340.3322999999946,586.2837
8,2025-12-08T11:43:37.958Z,batch,image,2394,3600,4,2,FALSE,24.75774789236164,0.9424246526066711,25855200,1628151,384180,1243939,1101625,12222163,929174,1363.3619000000035,682.6726999999955,167.9823999999935,72.18210000000545,964.407,132.39139999999315,1138.4946999999956,224.99139999999898
9,2025-12-08T11:44:12.178Z,batch,image,6144,8160,4,2,FALSE,28.058337111291593,0.9365496329825279,150405120,9938326,2160754,7777540,5680275,69392714,6180326,5559.648799999995,4166.384300000005,941.2213000000047,529.1904000000213,5391.721,846.2944999999891,19043.166200000007,1071.1821000000054
10,2025-12-08T11:44:26.800Z,batch,image,5149,6101,4,2,FALSE,30.900300198953875,0.9939123865308856,94242147,5798944,1077088,4721824,4684029,47680581,5506612,3608.888200000016,2477.453600000008,600.2014999999956,263.7870999999868,3216.7243999999773,520.4471999999951,4571.8984000000055,736.1137000000163
